,AOU,Common name
598,5270,Hoary Redpoll
599,5275,unid. Common
600,5210,Red Crossbill
601,5212,Unid. Cassia
602,5220,White-winged Crossbill
603,5225,unid. Red
604,5261,European Goldfinch
605,5330,Pine Siskin
606,5300,Lesser Goldfinch
607,5310,Lawrence's Goldfinch
608,5290,American Goldfinch
609,5360,Lapland Longspur
610,5380,Chestnut-collared Longspur
611,5370,Smith's Longspur
612,5390,Thick-billed Longspur
613,5340,Snow Bunting
614,5790,Rufous-winged Sparrow
615,5760,Botteri's Sparrow
616,5780,Cassin's Sparrow
617,5750,Bachman's Sparrow
618,5460,Grasshopper Sparrow
619,5860,Olive Sparrow
620,5730,Black-throated Sparrow
621,5520,Lark Sparrow
622,6050,Lark Bunting
623,5600,Chipping Sparrow
624,5610,Clay-colored Sparrow
625,5650,Black-chinned Sparrow
626,5630,Field Sparrow
627,5620,Brewer's Sparrow
628,5850,Fox Sparrow
629,5590,American Tree
630,5670,(Slate-colored Junco)
631,5671,(Oregon Junco)
632,5680,(Pink-sided Junco)
633,5660,(White-winged Junco)
634,5690,(Gray-headed Junco)
635,5677,(unid. race)
636,5700,Yellow-eyed Junco
637,5540,White-crowned Sparrow
638,5570,Golden-crowned Sparrow
639,5530,Harris's Sparrow
640,5580,White-throated Sparrow
641,5738,Sagebrush Sparrow
642,5739,Bell's Sparrow
643,5740,unid. Sagebrush
644,5400,Vesper Sparrow
645,5480,LeConte's Sparrow
646,5500,Seaside Sparrow
647,5491,Nelson's Sparrow
648,5490,Saltmarsh Sparrow
649,5450,Baird's Sparrow
650,5470,Henslow's Sparrow
651,5420,Savannah Sparrow
652,5810,Song Sparrow
653,5830,Lincoln's Sparrow
654,5840,Swamp Sparrow
655,5910,Canyon Towhee
656,5920,Abert's Towhee
657,5911,California Towhee
658,5800,Rufous-crowned Sparrow
659,5900,Green-tailed Towhee
660,5880,Spotted Towhee
661,5870,Eastern Towhee
662,5871,unid. Spotted
663,6830,Yellow-breasted Chat
664,4970,Yellow-headed Blackbird
665,4940,Bobolink Goglu
666,5010,Eastern Meadowlark
667,5011,Western Meadowlark
668,5012,unid. Eastern
669,5060,Orchard Oriole
670,5050,Hooded Oriole
671,5080,Bullock's Oriole
672,5032,Spot-breasted Oriole
673,5031,Altamira Oriole
674,5030,Audubon's Oriole
675,5070,Baltimore Oriole
676,5078,hybrid Bullock's
677,5077,unid. Bullock's
678,5040,Scott's Oriole
679,4980,Red-winged Blackbird
680,5000,Tricolored Blackbird
681,4961,Shiny Cowbird
682,4960,Bronzed Cowbird
683,4950,Brown-headed Cowbird
684,4955,unid. Bronzed
685,5090,Rusty Blackbird
686,5100,Brewer's Blackbird
687,5110,Common Grackle
688,5130,Boat-tailed Grackle
689,5120,Great-tailed Grackle
690,5135,unid. Boat-tailed
691,6740,Ovenbird Paruline
692,6390,Worm-eating Warbler
693,6760,Louisiana Waterthrush
694,6750,Northern Waterthrush
695,6420,Golden-winged Warbler
696,6410,Blue-winged Warbler
697,6412,Brewster's Warbler
698,6413,Lawrence's Warbler
699,6360,Black-and-white Warbler
700,6370,Prothonotary Warbler
701,6380,Swainson's Warbler
702,6470,Tennessee Warbler
703,6460,Orange-crowned Warbler
704,6430,Lucy's Warbler
705,6450,Nashville Warbler
706,6440,Virginia's Warbler
707,6780,Connecticut Warbler
708,6800,MacGillivray's Warbler
709,6790,Mourning Warbler
710,6770,Kentucky Warbler
711,6810,Common Yellowthroat
712,6840,Hooded Warbler
713,6870,American Redstart
714,6700,Kirtland's Warbler
715,6500,Cape May
716,6580,Cerulean Warbler
717,6480,Northern Parula
718,6490,Tropical Parula
719,6570,Magnolia Warbler
720,6600,Bay-breasted Warbler
721,6620,Blackburnian Warbler
722,6520,Yellow Warbler
723,6590,Chestnut-sided Warbler
724,6610,Blackpoll Warbler
725,6540,Black-throated Blue
726,6720,Palm Warbler
727,6710,Pine Warbler
728,6550,(Myrtle Warbler)
729,6560,(Audubon's Warbler)
730,6556,(unid. Myrtle/Audubon's)
731,6630,Yellow-throated Warbler
732,6730,Prairie Warbler
733,6640,Grace's Warbler
734,6650,Black-throated Gray
735,6680,Townsend's Warbler
736,6690,Hermit Warbler
737,6686,hybrid Townsend's
738,6685,unid. Townsend's
739,6660,Golden-cheeked Warbler
740,6670,Black-throated Green
741,6860,Canada Warbler
742,6850,Wilson's Warbler
743,6900,Red-faced Warbler
744,6880,Painted Redstart
745,6090,Hepatic Tanager
746,6100,Summer Tanager
747,6080,Scarlet Tanager
748,6070,Western Tanager
749,5930,Northern Cardinal
750,5940,Pyrrhuloxia Cardinal
751,5935,unid. Northern
752,5950,Rose-breasted Grosbeak
753,5960,Black-headed Grosbeak
754,5970,Blue Grosbeak
755,5990,Lazuli Bunting
756,5980,Indigo Bunting
757,5986,hybrid Lazuli
758,6000,Varied Bunting
759,6010,Painted Bunting
760,6040,Dickcissel Dickcissel
