,Common name,Scientific name,2018 IUCN Red List category,2022 IUCN Red List category,AOU
5849,Black Phoebe,Sayornis nigricans,LC,LC,4580
5850,Eastern Phoebe,Sayornis phoebe,LC,LC,4560
5851,Say's Phoebe,Sayornis saya,LC,LC,4570
5852,Acadian Flycatcher,Empidonax virescens,LC,LC,4650
5853,Yellow-bellied Flycatcher,Empidonax flaviventris,LC,LC,4630
5855,Pacific-slope Flycatcher,Empidonax difficilis,LC,LC,4641
5856,Cordilleran Flycatcher,Empidonax occidentalis,LC,LC,4640
5858,Willow Flycatcher,Empidonax traillii,LC,LC,4660
5859,Alder Flycatcher,Empidonax alnorum,LC,LC,4661
5860,Buff-breasted Flycatcher,Empidonax fulvifrons,LC,LC,4700
5863,Least Flycatcher,Empidonax minimus,LC,LC,4670
5864,Hammond's Flycatcher,Empidonax hammondii,LC,LC,4680
5867,Olive-sided Flycatcher,Contopus cooperi,NT,NT,4590
5868,Greater Pewee,Contopus pertinax,LC,LC,4600
6374,Philadelphia Vireo,Vireo philadelphicus,LC,LC,6260
6376,Warbling Vireo,Vireo gilvus,LC,LC,6270
6379,Red-eyed Vireo,Vireo olivaceus,LC,LC,6240
6380,Black-whiskered Vireo,Vireo altiloquus,LC,LC,6230
6383,Hutton's Vireo,Vireo huttoni,LC,LC,6320
6384,Yellow-throated Vireo,Vireo flavifrons,LC,LC,6280
6387,Cassin's Vireo,Vireo cassinii,LC,LC,6291
6388,Plumbeous Vireo,Vireo plumbeus,LC,LC,6292
6389,Blue-headed Vireo,Vireo solitarius,LC,LC,6290
6393,Bell's Vireo,Vireo bellii,LC,LC,6330
6396,Black-capped Vireo,Vireo atricapilla,VU,NT,6300
6401,White-eyed Vireo,Vireo griseus,LC,LC,6310
6878,Loggerhead Shrike,Lanius ludovicianus,NT,NT,6220
6935,Black-billed Magpie,Pica hudsonia,LC,LC,4750
6936,Yellow-billed Magpie,Pica nutalli,VU,VU,4760
6937,Clark's Nutcracker,Nucifraga columbiana,LC,LC,4910
6947,Fish Crow,Corvus ossifragus,LC,LC,4900
6955,Common Raven,Corvus corax,LC,LC,4860
6956,Chihuahuan Raven,Corvus cryptoleucus,LC,LC,4870
6961,American Crow,Corvus brachyrhynchos,LC,LC,4880
6995,Pinyon Jay,Gymnorhinus cyanocephalus,VU,VU,4920
6997,Mexican Jay,Aphelocoma wollweberi,LC,LC,4820
7001,Blue Jay,Cyanocitta cristata,LC,LC,4770
7002,Steller's Jay,Cyanocitta stelleri,LC,LC,4780
7010,Green Jay,Cyanocorax yncas,LC,LC,4830
7169,Bridled Titmouse,Baeolophus wollweberi,LC,LC,7340
7170,Tufted Titmouse,Baeolophus bicolor,LC,LC,7310
7171,Black-crested Titmouse,Baeolophus atricristatus,LC,LC,7320
7172,Juniper Titmouse,Baeolophus ridgwayi,LC,LC,7331
7173,Oak Titmouse,Baeolophus inornatus,LC,LC,7330
7188,Carolina Chickadee,Poecile carolinensis,LC,LC,7360
7189,Black-capped Chickadee,Poecile atricapillus,LC,LC,7350
